claim_id,true_label,seed,input_file
225250,Refuted,42,shared_task_dev.jsonl
72194,Supported,42,shared_task_dev.jsonl
54761,Refuted,42,shared_task_dev.jsonl
124189,Refuted,42,shared_task_dev.jsonl
86914,Supported,42,shared_task_dev.jsonl
128837,Refuted,42,shared_task_dev.jsonl
168924,Refuted,42,shared_task_dev.jsonl
209093,Refuted,42,shared_task_dev.jsonl
92586,Supported,42,shared_task_dev.jsonl
128584,Refuted,42,shared_task_dev.jsonl
167448,Refuted,42,shared_task_dev.jsonl
28324,Supported,42,shared_task_dev.jsonl
142717,Supported,42,shared_task_dev.jsonl
183447,Supported,42,shared_task_dev.jsonl
41265,Supported,42,shared_task_dev.jsonl
188640,Refuted,42,shared_task_dev.jsonl
37715,Refuted,42,shared_task_dev.jsonl
141072,Refuted,42,shared_task_dev.jsonl
135113,Supported,42,shared_task_dev.jsonl
153654,Refuted,42,shared_task_dev.jsonl
70310,Supported,42,shared_task_dev.jsonl
122692,Supported,42,shared_task_dev.jsonl
26289,Refuted,42,shared_task_dev.jsonl
20603,Supported,42,shared_task_dev.jsonl
25290,Refuted,42,shared_task_dev.jsonl
207332,Supported,42,shared_task_dev.jsonl
183917,Refuted,42,shared_task_dev.jsonl
51683,Refuted,42,shared_task_dev.jsonl
194222,Refuted,42,shared_task_dev.jsonl
46059,Supported,42,shared_task_dev.jsonl
19169,Refuted,42,shared_task_dev.jsonl
86474,Supported,42,shared_task_dev.jsonl
150964,Refuted,42,shared_task_dev.jsonl
121468,Supported,42,shared_task_dev.jsonl
163795,Supported,42,shared_task_dev.jsonl
165890,Supported,42,shared_task_dev.jsonl
203156,Supported,42,shared_task_dev.jsonl
104135,Refuted,42,shared_task_dev.jsonl
5578,Supported,42,shared_task_dev.jsonl
70882,Refuted,42,shared_task_dev.jsonl
93610,Supported,42,shared_task_dev.jsonl
79525,Refuted,42,shared_task_dev.jsonl
102745,Refuted,42,shared_task_dev.jsonl
116870,Supported,42,shared_task_dev.jsonl
200262,Supported,42,shared_task_dev.jsonl
136214,Refuted,42,shared_task_dev.jsonl
93839,Refuted,42,shared_task_dev.jsonl
22441,Supported,42,shared_task_dev.jsonl
173505,Supported,42,shared_task_dev.jsonl
1709,Supported,42,shared_task_dev.jsonl
